split,seed,target_prev,model,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std,train_prev_effective,test_prev
S1,1010,-1.0,rf,0.9497034222712747,0.02021760368973068,0.5714686233535732,0.06476665306910692,0.016705029813760687,0.0010601266270006049,0.02542433005992011,0.02542432108626198
S1,1010,-1.0,svm_linear_cal,0.9055096422379403,0.023159102109008754,0.468556847675213,0.04008571142268279,0.017935311382752894,0.0009474332557713727,0.02542433005992011,0.02542432108626198
S1,1010,-1.0,xgb,0.9572535325953965,0.024463529598762204,0.5798036141032928,0.06687129866538859,0.015668540865592877,0.00149272663841685,0.02542433005992011,0.02542432108626198
S1,1011,-1.0,extratrees,0.9488904832422328,0.006760471146808741,0.5440080133979565,0.037749708324328356,0.017810139431459763,0.0008963446130458297,0.02542433005992011,0.02542432108626198
S1,1011,-1.0,lr_l2,0.913093794641717,0.015419011913988374,0.462596507261571,0.02457441477429813,0.017973183308526892,0.00045694824535337134,0.02542433005992011,0.02542432108626198
S1,1011,-1.0,rf,0.9500134799946227,0.0036840956390249468,0.5697569807636551,0.02192053043301438,0.0165966442789364,0.0005450974515847713,0.02542433005992011,0.02542432108626198
S1,1011,-1.0,svm_linear_cal,0.9067789243182892,0.016251001533879966,0.47266942088585145,0.02501699243581315,0.017693141694537395,0.00041381290723050036,0.02542433005992011,0.02542432108626198
S1,1011,-1.0,xgb,0.9589911896194085,0.006738269160774713,0.5782868027881969,0.030347485848724563,0.015805988510160348,0.0005685447098461231,0.02542433005992011,0.02542432108626198
S1,1012,-1.0,extratrees,0.9486687783131428,0.010587175802011562,0.5398224344016418,0.058385732716816706,0.018012352259751462,0.0008852271725031464,0.02542433005992011,0.02542432108626198
S1,1012,-1.0,lr_l2,0.9140736439223174,0.013171324715868498,0.47054154069270393,0.07248370212964825,0.017832073404245814,0.0014812674164941047,0.02542433005992011,0.02542432108626198
S1,1012,-1.0,rf,0.951923540107893,0.01123593314854094,0.5655439584459412,0.04960730642454213,0.01698354579727699,0.0006493757827914792,0.02542433005992011,0.02542432108626198
S1,1012,-1.0,svm_linear_cal,0.9099840387441933,0.01568253801384467,0.4818051521990805,0.0696429771779734,0.017819818279392455,0.0013268344218086991,0.02542433005992011,0.02542432108626198
S1,1012,-1.0,xgb,0.9614237692073992,0.00648089298156819,0.5856944356287628,0.05755141490791136,0.015671495230724936,0.0014148712022360743,0.02542433005992011,0.02542432108626198
S1,1013,-1.0,extratrees,0.9482578320571277,0.010226543331237403,0.5337219304140902,0.08106639970700032,0.018369596111409394,0.0010981603891811352,0.02542433005992011,0.02542432108626198
S1,1013,-1.0,lr_l2,0.9102975775101729,0.020587296947062246,0.4614566615904323,0.06866069711498095,0.01791345430012705,0.0013262535144158598,0.02542433005992011,0.02542432108626198
S1,1013,-1.0,rf,0.9516534070225597,0.009236766925087025,0.5652784747217152,0.06650357417637603,0.016736335045295113,0.0012077842446376428,0.02542433005992011,0.02542432108626198
S1,1013,-1.0,svm_linear_cal,0.9019767010631833,0.02277451134891625,0.4738074869969747,0.0729923108494165,0.017780704221724633,0.0013162553309687464,0.02542433005992011,0.02542432108626198
S1,1013,-1.0,xgb,0.9595094793490299,0.002707188287112826,0.5665980692213285,0.05738365630421104,0.01603767828568812,0.0013058186759961656,0.02542433005992011,0.02542432108626198
S1,1014,-1.0,extratrees,0.951758332016414,0.005554983563207494,0.5363349264923418,0.06706438926533616,0.01780704910134413,0.0009994896439993787,0.02542433005992011,0.02542432108626198
S1,1014,-1.0,lr_l2,0.9159105579798423,0.013254962849731036,0.467221724201917,0.08146312974320911,0.01770515977820871,0.0015077207018523808,0.02542433005992011,0.02542432108626198
S1,1014,-1.0,rf,0.9525658225318521,0.007311067086130985,0.5685286237006161,0.06725291278490066,0.016756758219733665,0.0012208415825078537,0.02542433005992011,0.02542432108626198
S1,1014,-1.0,svm_linear_cal,0.9106247425789885,0.014670956430489329,0.4821811682730206,0.08195990370458318,0.01760031759216476,0.001522482667436033,0.02542433005992011,0.02542432108626198
S1,1014,-1.0,xgb,0.9582911263380938,0.010684268665518679,0.5664259283901686,0.07565875236163057,0.015996707696159945,0.00178494831117659,0.02542433005992011,0.02542432108626198
S1,1015,-1.0,extratrees,0.9473227375281847,0.014232869202605093,0.5493833026885296,0.056575764381793466,0.01755145000399753,0.0008086058050801955,0.02542433005992011,0.02542432108626198
