split,seed,miss_rate,winner_det,winner_tie_set,winner_tie_k,best_auroc,best_ap,best_brier
S2,1010,0.2,xgb,xgb,1,0.9502897348635556,0.5055706697407881,0.0171567156881838
S2,1011,0.2,xgb,xgb,1,0.9500451585342397,0.4973814654256144,0.0171941956072189
S2,1012,0.2,xgb,xgb,1,0.9493334145749754,0.5071498045129615,0.0171765916612883
S2,1013,0.2,xgb,xgb,1,0.9492206081400868,0.4956690988918957,0.0174615437492312
S2,1014,0.2,xgb,xgb,1,0.9520787827210616,0.511878380716047,0.0171533904666516
S2,1015,0.2,xgb,xgb,1,0.9511233061022184,0.5015883766121967,0.0171290730098673
S2,1016,0.2,xgb,xgb,1,0.9490873640560572,0.4816780702949142,0.0177839223501082
S2,1017,0.2,xgb,xgb,1,0.9519357845105556,0.5089355745241246,0.0171875564399339
S2,1018,0.2,xgb,xgb,1,0.9493095234552772,0.4891875929599588,0.0177467269991332
S2,1019,0.2,xgb,xgb,1,0.9484760152734552,0.4911262617196586,0.0173234082750363
S2,1020,0.2,xgb,xgb,1,0.9512923211088608,0.4927939517044875,0.0174220950161258
S2,1001,0.3,xgb,xgb,1,0.9497751930962376,0.4753879664238553,0.0178950953047672
S2,1002,0.3,xgb,xgb,1,0.946781201920509,0.4474474658551869,0.0183955956427
S2,1003,0.3,xgb,xgb,1,0.9470576228357268,0.4912092021072808,0.0174195663518197
S2,1004,0.3,xgb,xgb,1,0.9449229803609442,0.4782210357870015,0.0177434886396516
S2,1005,0.3,xgb,xgb,1,0.9474218010224044,0.4833233843753241,0.0175677145992517
S2,1006,0.3,xgb,xgb,1,0.9497628678840376,0.4955072835411741,0.0176220233572738
S2,1007,0.3,xgb,xgb,1,0.94229127826562,0.4914980487337416,0.017548385760826
S2,1008,0.3,xgb,xgb,1,0.9445068352074388,0.4480031063254544,0.0183598492281914
S2,1009,0.3,xgb,xgb,1,0.9431333376925431,0.4944150120914345,0.0175239164421808
S2,1010,0.3,xgb,xgb,1,0.9460501371701668,0.4643066328766978,0.0178600988648659
S2,1011,0.3,xgb,xgb,1,0.9500762792421727,0.4916144622084264,0.0175530235677291
S2,1012,0.3,xgb,xgb,1,0.9364063104489644,0.4595471494932998,0.0181352344702729
S2,1013,0.3,xgb,xgb,1,0.9478507947367956,0.4653104550742259,0.0178722310303925
S2,1014,0.3,xgb,xgb,1,0.9396516829582456,0.4641888847608315,0.0181117832551251
S2,1015,0.3,xgb,xgb,1,0.947988765227078,0.5021241533176976,0.0171693965658403
S2,1016,0.3,xgb,xgb,1,0.9469177734804852,0.4633524122286534,0.01809725322437
S2,1017,0.3,xgb,xgb,1,0.9480833692615878,0.4836157831415228,0.017742921581142
S2,1018,0.3,xgb,xgb,1,0.940291773589612,0.4658367234477779,0.0179224720482632
S2,1019,0.3,xgb,xgb,1,0.9402876012343652,0.4475233439508059,0.0180729119017244
S2,1020,0.3,xgb,xgb,1,0.9415774636724648,0.4412285452569739,0.0185879961930871
S2,1001,0.4,xgb,xgb,1,0.9320962624158884,0.4224342645022133,0.0187769261785939
S2,1002,0.4,xgb,xgb,1,0.9379132286673456,0.4656529296259236,0.0180537284828377
S2,1003,0.4,xgb,xgb,1,0.9359651470472248,0.4365772487337649,0.0186119834654594
S2,1004,0.4,xgb,xgb,1,0.944740024754788,0.4651902144229097,0.0181605916690838
S2,1005,0.4,xgb,xgb,1,0.9370086190000178,0.4497691735731082,0.0183509918161782
S2,1006,0.4,xgb,xgb,1,0.939201329124242,0.4351380200335611,0.0184444166471448
S2,1007,0.4,xgb,xgb,1,0.9328774123037644,0.4481915886887792,0.0183219809306391
S2,1008,0.4,xgb,xgb,1,0.9378519227080292,0.4048343595136845,0.0190429395941002
S2,1009,0.4,xgb,xgb,1,0.9325632857158428,0.4372268505161704,0.0184456231546508
S2,1010,0.4,xgb,xgb,1,0.943754433137164,0.4793165699381937,0.0178235460630743
S2,1011,0.4,xgb,xgb,1,0.9424074859982275,0.4345045064178401,0.018557262846318
S2,1012,0.4,xgb,xgb,1,0.9459409577229352,0.453057040124554,0.0183313038268976
S2,1013,0.4,xgb,xgb,1,0.9410662230024556,0.4419508028233572,0.0186071268118981
S2,1014,0.4,xgb,xgb,1,0.9391299099832862,0.4286006373224776,0.0188017898334678
