split,seed,miss_rate,fold,model,auroc,ap,brier,best_params
S1,1001,0.5,4,xgb,0.922328008584386,0.3886724136902216,0.0196914772634547,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.5,5,extratrees,0.9303935860058308,0.4598643970028461,0.019885626506198,"{""clf__max_depth"": 12}"
S1,1001,0.5,5,lr_l2,0.9025348234531908,0.3510132340425948,0.02057060951675,"{""clf__C"": 1.0}"
S1,1001,0.5,5,rf,0.9335570537738904,0.4940693329942624,0.0185146002383829,"{""clf__max_depth"": 12}"
S1,1001,0.5,5,svm_linear_cal,0.8972809361839975,0.3558012628716929,0.0202591223716568,"{""clf__C"": 0.1}"
S1,1001,0.5,5,xgb,0.9359157353417558,0.4424557722504235,0.0184205400636977,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
S1,1001,0.6,1,extratrees,0.8803632867840517,0.2865997850508438,0.0220326017766559,"{""clf__max_depth"": 12}"
S1,1001,0.6,1,lr_l2,0.8483100586925723,0.2225553784347613,0.02264431849194,"{""clf__C"": 0.1}"
S1,1001,0.6,1,rf,0.8639344262295081,0.2800715675523923,0.0213808421300756,"{""clf__max_depth"": 12}"
S1,1001,0.6,1,svm_linear_cal,0.8408571139445457,0.2378174915638452,0.0222017891181681,"{""clf__C"": 0.1}"
S1,1001,0.6,1,xgb,0.8931390406800243,0.2976063477409599,0.0209956055617138,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.6,2,extratrees,0.8888093588855537,0.4228723721986505,0.0196803444602272,"{""clf__max_depth"": null}"
S1,1001,0.6,2,lr_l2,0.8713409784755893,0.3651382319178584,0.0194656625864265,"{""clf__C"": 1.0}"
S1,1001,0.6,2,rf,0.9011262474665844,0.4390273225159213,0.0194254472472244,"{""clf__max_depth"": 12}"
S1,1001,0.6,2,svm_linear_cal,0.8644295646373688,0.3694472088329736,0.0195933289385334,"{""clf__C"": 0.1}"
S1,1001,0.6,2,xgb,0.8971702711716565,0.3786581663654225,0.0192770041863858,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1001,0.6,3,extratrees,0.9023268939685472,0.3911700933923113,0.0209028309052086,"{""clf__max_depth"": 12}"
S1,1001,0.6,3,lr_l2,0.8717309320403295,0.2997427315619165,0.0210411967369393,"{""clf__C"": 1.0}"
S1,1001,0.6,3,rf,0.8932142948767285,0.3127683309588049,0.020792344462875,"{""clf__max_depth"": 12}"
S1,1001,0.6,3,svm_linear_cal,0.8665743092434388,0.3089384188858459,0.0210646803866643,"{""clf__C"": 0.1}"
S1,1001,0.6,3,xgb,0.9032607301367402,0.339746950925008,0.0201890897921396,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
S1,1001,0.6,4,extratrees,0.8829567541302236,0.2650961838181674,0.0221079597569674,"{""clf__max_depth"": 12}"
S1,1001,0.6,4,lr_l2,0.8645377793974732,0.3141668080281177,0.0207586027730281,"{""clf__C"": 1.0}"
S1,1001,0.6,4,rf,0.8969772432782638,0.3522089121386673,0.0206298726642297,"{""clf__max_depth"": 12}"
S1,1001,0.6,4,svm_linear_cal,0.8589548914804017,0.3187536017214405,0.0208169805596054,"{""clf__C"": 0.1}"
S1,1001,0.6,4,xgb,0.915193756073858,0.3605076713782555,0.02016841994986,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1001,0.6,5,extratrees,0.8781482831227729,0.3591601517481345,0.021339319382612,"{""clf__max_depth"": 12}"
S1,1001,0.6,5,lr_l2,0.8725198412698412,0.3402380776378362,0.0202547226612326,"{""clf__C"": 1.0}"
S1,1001,0.6,5,rf,0.8945325153871073,0.36590300905269,0.0205812045162835,"{""clf__max_depth"": 12}"
S1,1001,0.6,5,svm_linear_cal,0.851149983803045,0.3110479412271922,0.0206856562842575,"{""clf__C"": 0.1}"
S1,1001,0.6,5,xgb,0.9029296242306448,0.3919612580879419,0.0196378988604951,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.7,1,extratrees,0.8602079538554949,0.2181006318016087,0.0221580611761921,"{""clf__max_depth"": null}"
S1,1001,0.7,1,lr_l2,0.8474195506982393,0.2197991065603477,0.0223644852761472,"{""clf__C"": 1.0}"
